Population,Region,Coordinates,Latitude,Longitude,Anatolian Neolithic Farmer,Caucasus Hunter Gatherer,Zagrosian Neolithic Farmer,Natufian Hunter Gatherer,Eastern Hunter Gatherer,Western Hunter Gatherer,North African Neolithic Farmer,Ancient Ancestral South Indian,Amerindian,Melanesian,Australian Hunter Gatherer,Southeast Asian Neolithic Farmer,Arctic Hunter Gatherer,Amur River Hunter Gatherer,Jomon Hunter Gatherer,Yellow River Neolithic Farmer,East African Hunter Gatherer,South African Hunter Gatherer,West African Hunter Gatherer
East*Asia:Buryat:Buryat*(Aginsky),East Asia,"50.89888889,114.5330556",50.89888889,114.5330556,0.6,0.0,4.2,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4,0.0,0.0,0.0,0.0,0.0
East*Asia:Buryat:Buryat*(Duldurginsky),East Asia,"50.79305556,113.4711111",50.79305556,113.4711111,0.0,2.2,3.0,0.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.6,0.0,0.0,0.0,0.0,0.0
East*Asia:Buryat:Buryat*(Irkutsk),East Asia,"52.28333333,104.2833333",52.28333333,104.2833333,1.8,0.4,4.6,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.2,0.0,0.0,0.0,0.0,0.0
East*Asia:Buryat:Buryat*(Khorinsky),East Asia,"52.16666667,109.7666667",52.16666667,109.7666667,1.4,0.8,2.8,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.6,0.0,0.0,0.0,0.0,0.0
East*Asia:Buryat:Buryat*(Mongolia),East Asia,"48.7686,109.005",48.7686,109.005,0.8,0.0,4.4,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4,0.0,0.0,0.0,0.0,0.0
East*Asia:Buryat:Buryat*(Zakamensky),East Asia,"55.75,103.4333333",55.75,103.4333333,0.6,0.0,5.4,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.8,0.0,0.0,0.0,0.0,0.0
East*Asia:Dong:Dong*(Guizhou),East Asia,"26.83333333,106.8333333",26.83333333,106.8333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,0.0,0.0,57.2,0.0,0.0,0.0
East*Asia:Dong:Dong*(Hunan),East Asia,"28.11277778,112.9833333",28.11277778,112.9833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
East*Asia:Dongxiang:Dongxiang*(China),East Asia,"35.66354,103.38952",35.66354,103.38952,2.6,6.4,4.2,0.0,0.0,1.4,0.0,1.2,0.0,0.0,0.0,4.2,3.6,7.8,0.0,68.6,0.0,0.0,0.0
East*Asia:Han:Han*(Chongqing),East Asia,"29.56361111,106.5502778",29.56361111,106.5502778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0
East*Asia:Han:Han*(Fujian),East Asia,"25.9,118.3",25.9,118.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.8,77.8,0.0,0.0,0.0
East*Asia:Han:Han*(Guangdong),East Asia,"23.4,113.5",23.4,113.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,0.0,0.0,0.0,59.8,0.0,0.0,0.0
East*Asia:Han:Han*(Henan),East Asia,"33.9,113.5",33.9,113.5,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.2,1.0,90.0,0.0,0.0,0.0
