Population,Region,Latitude,Longitude,Ancient North Eurasian,Basal East Eurasian,Caucasus Dzudzuana,East African Hunter Gatherer,East Eurasian,South African Hunter Gatherer,West African Hunter Gatherer,Western Hunter Gatherer
East*Asia:Tibetan:Tibetan*(Lhasa),East Asia,29.64861111,91.1175,0,7.4,0.2,0,91.8,0,0,0.6
East*Asia:Tibetan:Tibetan*(Nagqu),East Asia,31.47611111,92.05111111,0,6.8,0,0,93.2,0,0,0
East*Asia:Tibetan:Tibetan*(Shannan),East Asia,29.23805556,91.77111111,0,11.2,0.6,0,88.2,0,0,0
East*Asia:Tibetan:Tibetan*(Shigatse),East Asia,29.27722222,88.87555556,0,10.6,0,0,89.4,0,0,0
East*Asia:Tibetan:Tibetan*(Xinlong),East Asia,30.93888889,100.3111111,0,0,0,0,100,0,0,0
East*Asia:Tibetan:Tibetan*(Xunhua),East Asia,35.85111111,102.4891667,0,8.8,1.6,0,89.2,0,0,0.4
East*Asia:Tibetan:Tibetan*(Yajiang),East Asia,30.03194444,101.0138889,0,3.2,0.2,0,96.6,0,0,0
East*Asia:Tibetan:Tibetan*(Yunnan),East Asia,25.04944444,102.7088889,0,2.2,0,0,97.8,0,0,0
East*Asia:Tu:Tu*(China),East Asia,36.97166667,103.1419444,0,1.6,2.6,0,94.8,0,0,1
East*Asia:Tujia:Tujia*(China),East Asia,29.3016,109.759,0,0,0,0,100,0,0,0
East*Asia:Yi:Yi,East Asia,28.1947,102.121,0,2,0,0,98,0,0,0
East*Europe:Baltic:Latvian,Europe,56.826108,24.309118,36.4,0,37,0,0,0,0,26.6
East*Europe:Baltic:Lithuanian*(East*Aukstaitija),Europe,55.59805556,26.43805556,35.4,0,40.4,0,0,0,0,24.2
East*Europe:Baltic:Lithuanian*(North*Zemaitija),Europe,56.31666667,22.33333333,35.2,0,38.2,0,0,0,0,26.6
East*Europe:Baltic:Lithuanian*(South*Aukstaitija),Europe,55.23333333,25.41666667,34.8,0,42,0,0,0,0,23.2
East*Europe:Baltic:Lithuanian*(South*Zemaitija),Europe,55.25222222,22.28972222,35.6,0,37.8,0,0,0,0,26.6
East*Europe:Baltic:Lithuanian*(West*Aukstaitija),Europe,55.73333333,24.35,34.2,0,41.4,0,0,0,0,24.4
East*Europe:Baltic:Lithuanian*(West*Zemaitija),Europe,55.89,21.24222222,35,0,40,0,0,0,0,25
East*Europe:East*Slavic:Belarusian,Europe,53.2307,25.6038,34.4,0,43.4,0,0,0,0,22.2
East*Europe:East*Slavic:Russian*(Belgorod),Europe,50.6,36.6,33.6,0,46.4,0,0,0,0,20
East*Europe:East*Slavic:Russian*(Kaluga),Europe,54.55,36.28333333,35.2,0,43.2,0,0,0,0,21.6
East*Europe:East*Slavic:Russian*(Kostroma),Europe,57.76805556,40.92694444,41.6,0,39.4,0,0,0,0,19
East*Europe:East*Slavic:Russian*(Krasnoborsky),Europe,61.55,45.93333333,42,0,37.2,0,1,0,0,19.8
East*Europe:East*Slavic:Russian*(Kursk),Europe,51.71666667,36.18333333,36.2,0,43.6,0,0,0,0,20.2
East*Europe:East*Slavic:Russian*(Leshukonsky),Europe,64.9,45.76666667,46.2,0,31,0,5,0,0,17.8
East*Europe:East*Slavic:Russian*(Orel),Europe,52.96861111,36.06944444,35.8,0,44.8,0,0,0,0,19.4
East*Europe:East*Slavic:Russian*(Pinega),Europe,64.7,43.395,42.6,0,33.2,0,2.8,0,0,21.4
East*Europe:East*Slavic:Russian*(Pinezhsky),Europe,64.06666667,44.45,44.2,0,33,0,2.4,0,0,20.4
East*Europe:East*Slavic:Russian*(Pskov),Europe,57.81666667,28.33333333,35.6,0,40.8,0,0,0,0,23.6
East*Europe:East*Slavic:Russian*(Ryazan),Europe,54.6,39.7,37.8,0,43.8,0,0,0,0,18.4
East*Europe:East*Slavic:Russian*(Smolensk),Europe,54.78277778,32.04527778,34,0,44.6,0,0,0,0,21.4
East*Europe:East*Slavic:Russian*(Tver),Europe,56.8625,35.92416667,38.2,0,41.8,0,0,0,0,20
East*Europe:East*Slavic:Russian*(Voronez),Europe,51.67166667,39.21055556,34.4,0,45.2,0,0,0,0,20.4
East*Europe:East*Slavic:Russian*(Yaroslavl),Europe,57.61666667,39.85,38.6,0,41,0,0,0,0,20.4
East*Europe:East*Slavic:Ukrainian*(Chernihiv),Europe,51.49388889,31.29472222,34.2,0,45.4,0,0,0,0,20.4
East*Europe:East*Slavic:Ukrainian*(Dnipro),Europe,48.4675,35.04,35.2,0,45.4,0,0,0,0,19.4
East*Europe:East*Slavic:Ukrainian*(Donetsk),Europe,48.00277778,37.80527778,35,0,46,0,0,0,0,19
East*Europe:East*Slavic:Ukrainian*(Kharkiv),Europe,49.9925,36.23111111,32.6,0,47.2,0,0,0,0,20.2
East*Europe:East*Slavic:Ukrainian*(Kiev),Europe,50.45,30.52333333,36,0,45.8,0,0,0,0,18.2
East*Europe:East*Slavic:Ukrainian*(Rivne),Europe,50.61916667,26.25194444,34,0,45,0,0,0,0,21
East*Europe:East*Slavic:Ukrainian*(Sumy),Europe,50.91666667,34.75,33.6,0,46.4,0,0,0,0,20
East*Europe:East*Slavic:Ukrainian*(Volyn),Europe,50.745,25.35361111,34.4,0,45.4,0,0,0,0,20.2
East*Europe:East*Slavic:Ukrainian*(Zhytomyr),Europe,50.25,28.66666667,34,0,46,0,0,0,0,20
East*Europe:East*Slavic:Ukrainian*(Zhytomyr),Europe,50.25,28.66666667,34,0,46.4,0,0,0,0,19.6
East*Siberia:Chukotko-Kamchatkan:Chukchi,East Asia,68.6436,170.045,24.2,0,0,0,75.8,0,0,0
East*Siberia:Chukotko-Kamchatkan:Itelmen,East Asia,56.046173,156.30704,22.2,0,0,0,77.8,0,0,0
East*Siberia:Chukotko-Kamchatkan:Koryak,East Asia,63.8977,166.695,20,0,0,0,80,0,0,0
East*Siberia:Even:Even,East Asia,70.6687,130.914,7.2,0,0,0,92.8,0,0,0
East*Siberia:Evenk:Evenk,East Asia,61.97,94.69,8.4,0,0,0,91.6,0,0,0
East*Siberia:Evenk:Evenk*(Zabaykalsky),East Asia,49.90888889,117.275,11.4,0,0,0,88.6,0,0,0
East*Siberia:Nganasan:Nganasan,East Asia,73.1354,86.2106,15.8,0,0,0,84.2,0,0,0
East*Siberia:Yukaghir:Yukaghir*(Tundra),East Asia,70.498,157.853,13.8,0,0,0,86.2,0,0,0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Belarus),Europe,53.9,27.56666667,25.8,0,72.6,1.6,0,0,0,0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Germany),Europe,52.52,13.405,22.2,0,75.2,2.6,0,0,0,0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Lithuania),Europe,54.68722222,25.28,25.8,0,72.2,2,0,0,0,0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Poland),Europe,52.23,21.01111111,24.6,0,73.2,2.2,0,0,0,0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Russia),Europe,55.75583333,37.61722222,26.2,0,72,1.8,0,0,0,0
European*Jew:Ashkenazi*Jew:Ashkenazi*Jew*(Ukraine),Europe,46.48555556,30.74333333,25.2,0,72.6,2.2,0,0,0,0
European*Jew:Sephardic*Jew:Sephardic*Jew,Europe,52.36666667,4.9,19.4,0,76.8,3.8,0,0,0,0
European*Jew:Sephardic*Jew:Sephardic*Jew*(Bulgaria),Europe,42.7,23.33333333,19.6,0,76.2,4.2,0,0,0,0
European*Jew:Sephardic*Jew:Sephardic*Jew*(Greece),Europe,40.64027778,22.93472222,18.8,0,76.6,4.6,0,0,0,0
European*Jew:Sephardic*Jew:Sephardic*Jew*(Turkey),Europe,41.01361111,28.955,19.8,0,76.6,3.6,0,0,0,0
Horn*of*Africa:Beja:Beja*(Beni-Amer),Africa,17.2436,36.6666,0,2,49.8,47.6,0.6,0,0,0
Horn*of*Africa:Beja:Beja*(Hadendowa),Africa,15.45,36.4,0,0,46.8,52.6,0.6,0,0,0
Horn*of*Africa:Eritrean:Eritrean,Africa,15.32277778,38.925,0,0,46.8,52.2,1,0,0,0
Horn*of*Africa:Ethiopian:Afar*(Ethiopia),Africa,12.2281,41.8083,0,1.2,43.6,54.6,0.6,0,0,0
Horn*of*Africa:Ethiopian:Agaw*(Ethiopia),Africa,12.4479,38.8352,0,0,44,55.6,0.4,0,0,0
Horn*of*Africa:Ethiopian:Amhara*(Ethiopia),Africa,11.708182,39.543456,0,0.2,44,55.6,0.2,0,0,0
Horn*of*Africa:Ethiopian:Oromo*(Ethiopia),Africa,9.03,38.74,0,0,36.4,63.4,0.2,0,0,0
Horn*of*Africa:Somali:Somali*(Ethiopia),Africa,9.35,42.8,0,0,31.8,68.2,0,0,0,0
Horn*of*Africa:Somali:Somali*(Kenya),Africa,1,40.25,0,0,30.8,69.2,0,0,0,0
Horn*of*Africa:Somali:Somali*(Somalia),Africa,4.778704,45.152856,0,0,33.4,66.6,0,0,0,0
Italian*Peninsula*and*Sicily:Central*Italy:Italian*(Lazio),Europe,41.9,12.71666667,22,0,74.6,0,0,0,0,3.4
Italian*Peninsula*and*Sicily:Central*Italy:Italian*(Marche),Europe,43.61694444,13.51666667,23.4,0,73.2,0,0,0,0,3.4
Italian*Peninsula*and*Sicily:Central*Italy:Italian*(Tuscany),Europe,43.77138889,11.25416667,23,0,71.6,0,0,0,0,5.4
Italian*Peninsula*and*Sicily:Central*Italy:Italian*(Umbria),Europe,43.11222222,12.38888889,23.6,0,73.2,0,0,0,0,3.2
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Carloforte),Europe,39.15,8.3,20.4,0,71.6,0,0,0,0,8
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Friuli*Venezia*Giulia),Europe,45.65027778,13.77027778,24,0,65.4,0,0,0,0,10.6
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Friuli*Venezia*Giulia*Sauris),Europe,46.46666667,12.71666667,23.6,0,64.6,0,0,0,0,11.8
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Friuli*Venezia*Giulia*Timau),Europe,46.53333333,13.01666667,25,0,63.4,0,0,0,0,11.6
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Liguria),Europe,44.41111111,8.932777778,22.8,0,68.6,0,0,0,0,8.6
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Lombardy),Europe,45.58333333,9.916666667,21.4,0,70,0,0,0,0,8.6
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Lombardy*Bergamo),Europe,45.695,9.67,20.8,0,69.4,0,0,0,0,9.8
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Piedmont*Val*Borbera),Europe,44.7,8.883333333,23,0,69.8,0,0,0,0,7.2
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Trentino*Alto*Adige),Europe,46.06666667,11.11666667,21.8,0,66.8,0,0,0,0,11.4
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Veneto),Europe,45.73333333,11.85,22.2,0,67.4,0,0,0,0,10.4
Italian*Peninsula*and*Sicily:North*Italy:Italian*(Veneto*Lessinia),Europe,45.61666667,11.03333333,23.6,0,64,0,0,0,0,12.4
Italian*Peninsula*and*Sicily:South*Italy:Italian*(Abruzzo),Europe,42.35,13.4,24.2,0,74.8,0,0,0,0,1
Italian*Peninsula*and*Sicily:South*Italy:Italian*(Apulia),Europe,41,16,24.4,0,75.6,0,0,0,0,0
Italian*Peninsula*and*Sicily:South*Italy:Italian*(Basilicata),Europe,40.63333333,15.8,23.6,0,75.8,0.6,0,0,0,0
Italian*Peninsula*and*Sicily:South*Italy:Italian*(Calabria),Europe,38.9,16.6,22.2,0,76.2,1.6,0,0,0,0
Italian*Peninsula*and*Sicily:South*Italy:Italian*(Campania),Europe,40.91055556,14.92055556,22.8,0,76.4,0.8,0,0,0,0
Italian*Peninsula*and*Sicily:South*Italy:Italian*(Campania*Naples),Europe,40.83333333,14.25,22.8,0,76.2,1,0,0,0,0
Italian*Peninsula*and*Sicily:South*Italy:Italian*(Molise),Europe,41.69972222,14.61111111,24.6,0,74.6,0,0,0,0,0.8
Italian*Peninsula*and*Sicily:South*Italy:Sicilian*(Agrigento),Europe,37.31666667,13.58333333,22,0,76,2,0,0,0,0
Italian*Peninsula*and*Sicily:South*Italy:Sicilian*(Central),Europe,37.58333333,14.16666667,22.4,0,75.4,2.2,0,0,0,0
Italian*Peninsula*and*Sicily:South*Italy:Sicilian*(East),Europe,37.5,15.09027778,21.8,0,75.8,1.8,0,0,0,0.6
Italian*Peninsula*and*Sicily:South*Italy:Sicilian*(Syracuse),Europe,37.06916667,15.2875,22.8,0,75,1.8,0,0,0,0.4
Italian*Peninsula*and*Sicily:South*Italy:Sicilian*(Trapani),Europe,38.0175,12.515,21.8,0,73.2,2.2,0,0,0,2.8
